F3_Haupteinkaufsstaette;F7_2_ERWARTUNGEN_1;F7_1.1_ZUFR_BEGR_offen
Penny;4;Sehr günstig, qualitativ hochwertige Eigenmarken. Spektrum in den Warengruppen ist begrenzt, Frische bei Obst und Gemüse ist ausbaufähig.
Lidl;4;Ist ziemlich nah, bietet alles was ich brauche
Real;4;alles vorhanden
Rewe;3;weiß nicht
Kaufland;5;Gute Angebote, riesige Auswahl, immer alles vorrätig.
Netto (Schwarz);5;Die Auswahl an Lebensmitteln ist begrenzt aber es ist übersichtlich und damit bekomme ich, das was ich benötige in angemessener Zeit
Rewe;5;Ordentlich, übersichtlich und gute Auswahl
Netto (Rot);5;Liegt auf meinen Heimweg von der Arbeit
Edeka;5;Bietet alles, was ich brauche
Edeka;4;Für die Möglichkeiten die der jetzige Standort bietet, ist die Situation optimal ausgenutzt. Eine größere Filiale würde dem Unternehmen jedoch gut tun.
Aldi Süd;4;..
Aldi Nord;4;Dort finde ich das meiste zu einem günstigen Preis
Lidl;3;sehr viel auswal  wechseltes Angebot
Aldi Süd;5;sauber, freundliches Personal, gutes Sortiment
Edeka;4;Qualität
Rewe;3;Top
Edeka;3;V
Real;4;Gut erreichbar. Frische Sortimente nicht an jedem Tag wirklich frisch
Edeka;5;Die Auswahl ist sehr groß, es gibt immer Sonderangebote, ich erhalte vorher die Prospekte mit einem kostenlosen Nachrichtenblatt und kann den Einkauf von zu Hause aus planen. Die Verkäufer an den Frischetheken sind kompetent und freundlich. Ich kann ein E-Center gut mit der Straßenbahn erreichen
Norma;4;Diese liegth mir von der Entfernung am nächsten und hat ein vernünftiges Preis- / Leistungsverhältnis
Rewe;4;Gutes Personal
Lidl;5;immer alles frisch große auswahl
Netto (Rot);4;freundliches personal  gutes angebotpreis-leistung ok
Edeka;4;deckt alles ab
Lidl;5;ich bin immer zfrieden
Aldi Nord;4;Gutes Preis Leistung Verhältnis
Kaufland;4;gutes Angebot, günstige Preise
Lidl;5;kaufe seit zig Jahren bei Lidl, egal online oder offline, finde immer alles was ich brauche und die Mitarbeiter sind toll
Kaufland;5;Wochenangebote sind häufig vergriffen
Lidl;4;nicht immer alle Waren da
Aldi Nord;4;Meistens bekommt man noch am selben Tag von der Aktionsware was ab. Obst&Gemüse ist immer frisch und übersichtlich angeordnet meistens bekommt man alle Grund-Lebensmittel
Lidl;5;angenehme Gänge, gute Sortierung, freundliches Personal, günstig gelegen
Rewe;5;Bekomme alles für den täglichen Gebrauch
Penny;3;Oft fehlen Preisschilder, oft sind einige Produkte nicht vorhanden, sehr oft fehlen Frischbackwaren und zur Kaffeezeit die frischen Kuchenwaren.
Lidl;4;gute Produkte für einen günstigen Preis
Lidl;4;Billig und halbwegs gutes Angebot in der Nähe
Kaufland;5;alles gut
Edeka;5;Gutes Angebot
Kaufland;4;Angebot ist super, aber das Layout und der Supermarktaufbau ist etwas schäbig
Edeka;5;Passt am besten
Lidl;5;Es stimmt einfach alles
Edeka;4;freundliches Personal, mittelmäßiges Sortiment, sauber
Rewe;4;Erfahrubg
Edeka;4;Eigentlich ganz zufrieden, aber in letzter Zeit waren immer wieder einige Waren nicht aufgefüllt und lange Wartezeiten an der Kasse
Aldi Nord;4;wurde neu umgebaut
Netto (Rot);3;Darum
Edeka;4;Sehr gut sortiert, modern eingerichtet, immer sauber, kompetente Mitarbeiter
Kaufland;4;ich bekomme alles
Aldi Süd;5;in der Nähe und sehr ordentlich
Netto (Rot);4;Hat immer gute Wochenangebote
Aldi Nord;3;Die Mitarbeiter sind freundlich, es ist sauber. Manchmal gibt es leider nicht alles was man braucht.Und an der Kasse steht man manchmal etwas lange...
Lidl;4;Muss leider weit fahren, könnten noch mehr Schnäppchen anbieten.
Aldi Nord;5;Kurze Einkaufswege alles was ich brauche
Aldi Nord;5;freundliche Mitarbeiter
Lidl;5;Schnell zu erreichen, saubere Filiale, alles Frisch und freundliches Personal
Hit;4;sehr freundliche Bedienung und großes Angebot
Lidl;4;Frische Ware
Feneberg;4;Insgesamt zufrieden,  Markenauswahl könnte in manchen Bereichen etwas größer sein
Rewe;5;Sehr zufrieden mit der Produktpalette.
Edeka;5;..
Rewe;5;Moderner und großer Markt mit einem riesigen Angebot
Edeka;5;freundlich sauber
Edeka;5;ich bekomme alles wae ich brauche
Kaufland;4;oi
Edeka;5;Es gibt ein umfangreiches Sortiment, die Mitarbeiter sind freundlich und hilfsbereit, die Auswahl an günstigen Eigenmarken und regionalen Produkten ist groß, es gibt interessante Sonderangebote
Edeka;1;Super Personal - stets hilfsbereit, gute Prpdukte, gepflegtes Geschäft
Edeka;5;Gut sortiert, übersichtlich, ansprechend, preis-leistung ist gut
Edeka;5;Neu gebauter Edekamarkt, übersichtlich, großes Angebot, wenn ich etwas Spezielles suche bei Edeka finde ich es, sauber, nette Mitarbeiter
Edeka;5;Kann mich nicht beschweren
Penny;3;Das Angebot ist etwas eingeschränkt, aber durch die Payback-Punkte kaufe ich häufig dort
Edeka;5;Ist ein sehr sauberes Geschäft, und sehr freundliche Mitarbeiter.
Lidl;3;Keine Ahnung
Netto (Rot);4;ist immer alles vorrätig
Rewe;4;Größe Vielfalt, nette Mitarbeiter
Rewe;2;Fleisch ist nicht immer frisch an der Frischetheke, Obst ist nicht immer frisch an der Obsttheke
Rewe;3;Gutes Angebot, freundliche Bedienung, sauber
Rewe;4;Sauber und sortiert
Lidl;5;Alles neu und super sauber. Obst und Gemüse ist immer appetitlich frisch. Das Angebot ist reichhaltig
Aldi Nord;5;Gewünschte Artikel liegen vor, Lage des Geschäfts, Parkplätze, freundliches Personal.
Edeka;4;Man findet sehr viel
Lidl;5;es gibt viele Angebote und diese sind immer vorrätig
Rewe;5;Weil die Filiale alles hat was man brauch.
Aldi Süd;4;finde die Obst und Gemüseabteilung nicht immer in Ordnung
Rewe;5;Sehr gut geführtes Geschäft, ich bekomme alles, was ich brauche, Laden ist sauber und übersichtlich, Personal sehr freundlich
Penny;4;es gibt Payback Punkte
Edeka;5;super Angebot, Filiale ist sauber und die Produkte sind gut angeordnet, freundliche Mitarbeiter
Netto (Rot);5;alles, was ich brauche immer verfügbar: freundliche und kompetente Mitarbeiter
Netto (Rot);5;ist schnell erreichbar,günstig gute ware
Norma;3;die angebots artikel sind pm ganzen Markt verstreut
Edeka;4;alles bestens
Kaufland;4;Genügend Platz
Lidl;3;Waren werden ausgepackt, wenn Personen in der Filiale sind
Aldi Nord;3;reichhaltiges Angebot, frische,sehr aufgeräumt und sauber.
Aldi Süd;5;gut ereichbar sauber und nett
Lidl;5;alles top
Denn's;4;Es könnte noch eine etwas größere Auswahl an veganen Produkten geben. Insgesamt sehr teuer.
Edeka;5;Gut sortiert, großes Angebot, sauber
Penny;4;Finde dort so gut wie alles für den täglichen Bedarf
Kaufland;5;-
Lidl;2;klein/eng und alt, sonst typisches lidl sortiment, oft morgens auch drei stunden nach eröffnung noch nicht alles frische ausgeräumt, aktionsangebote immer nur wenig vorhanden, lange an der kasse stehen
Edeka;5;Alles da was man braucht
Rewe;5;weil es viele waren gibt
Netto (Rot);4;gibt was ich brauche
Edeka;5;Ich bekomme alles was ich benötige. Die Filiale ist für mich schnell zu erreichen und das Einkaufen dort ist bequem und einfach.
Netto (Rot);4;große Auswahl, gut erreichbar, preiswert
Aldi Nord;5;gute Preis-/Leistung,angenehme Öffnungszeiten,ausreichend Parkplätze, tolle Nonfoodangebote,auch Markenprodukte
Rewe;5;Große Angebotsvielfalt, alles sauber und freundliche Mitarbeiter
Aldi Nord;3;weiß nicht
Aldi Süd;4;Weil es so ist
Kaufland;5;ich bekomme immer alles was ich mir so vorstelle
Kaufland;3;Gefrorene Sachen stehen lange im Gang bis sie eingeräumt werden
Rewe;5;grosse auswahl
Aldi Nord;5;schneller einkauf da regale immer gut gefüllt sind grosses warenangebot vielseitig schnelle kassenbedienung
Edeka;5;-
Aldi Nord;5;Top Ware
Edeka;5;Edeka liegt in meiner Nähe.Der Laden ist überschaubar und hat ein reichhaltiges Sortiment.Das Personal ist immer freundlich und sehr hilfsbereit. Der Metzger bietet frische und hat eine ansprechende Auswahl an Frischfleisch und Wurstwaren.Man bekommt alles unter einem Dach was man für den täglichen Bedarf braucht.
Kaufland;5;freunl. Mitarbeiter, haben ein großes Sortiment, oft gute Angebote
Lidl;5;Eigentlich immer alles da, sehr nette Mitarbeiter, saubere und übersichtliche Filiale
Edeka;5;Angenehme Einkaufatmosphäre,vernünftige Preise, gute Qualität
Aldi Nord;5;Aldi ist einfach perfekt.Immer top Qualität und gute Preise.
Netto (Rot);5;gute Preise auf den weg zur Arbeit
Netto (Rot);5;Nettes Personal, schneller Kassierablauf, immer alles da, was ich brauche
Edeka;3;Je nach dem, welche Leute gerade arbeiten
Edeka;4;gutes Preis- Leistungsverhältnis, viele regionale Produkte und Biowaren
Penny;4;was ich brauche, bekomme ich
Rewe;5;weil ich bei Rewe alles bekomme was ich für den täglichen Gebrauch nötig ist , aber auch besondere Dinge die es im Supermarkt nicht gibt
Kaufland;5;Die Ware ist gut sortiert und frisch.Das Sortiment ist gross und man bekommt fast alles,was man braucht.
Netto (Rot);4;Auswahl ist ausreichend, Ladengeschäft nicht zu groß und noch übersichtlich. Genug Parkplätze. Filiale könnte manchmal etwas ordentlicher sein
Netto (Rot);4;ich bin zufrieden
Edeka;5;gut
Rewe;3;Positiv: großes Angebot, Nähe zum Wohnort                                   Negativ: Teilweise magere Ansprache ohne Bitte und Danke, fehlende Kenntnisse beim Kassieren was Obst, Gemüse und Backwaren (Selbstbedienung) betrifft,. Umher laufendes Personal kennt sich oft mit den eigenen Produkten nicht aus.
Kaufland;5;Immer groser Auswahl und ville Angebote
Lidl;4;Nähe
Kaufland;4;Man bekommt alles, immer gute Angebote
Edeka;4;Finde mich gut zurecht, attraktives Angebot
Rewe;3;Die Filiale ist gut aufgebaut und hat die meisten Produkte die ich brauche, dazu auch Lebensmittel die es wo anders nicht gibt. In meiner Stadt gibt es jedoch noch bessere Filialen, mit einer größeren Auswahl.
Aldi Nord;4;ist gut erreichbar und hat ausreichend Parkplätze
Edeka;4;Ist groß
Penny;4;gute angebote, schnelle bedienung, gute preise
Penny;4;alles super
Lidl;5;gutes Angebot
Netto (Rot);5;Preis
Netto (Rot);4;Ich finde alles. Produkte sind gut.
Kaufland;4;In letzter Zeit ist das eine oder andere Sonderangebot ziemlich zeitig ausverkauft, das war früher nicht so. Trotzdem ist dieser Anbieter der Supermarkt mit dem besten Preis-Leistungs-Verhältnis.
Lidl;5;Weil Lidl allesfrisch ist.
Aldi Nord;4;Das Geschäft ist in meine Nähe und das Sortiment ist auch groß.
Edeka;5;nett, freundlich, sauber, frisch
Lidl;5;haben gutes personal gutes angebot anware
Andere;5;Das Geschäft ist in meiner Nähe und hat praktisch alles, was ich so zum Leben brauche.
Aldi Süd;5;immer preisgünstig und gut
Penny;5;freundliches Personal, in der Nähe
Rewe;5;Sauberkeit Freundlichkeit Gute Parkmöglichkeiten Angebote immer vorrätig
Real;5;hat  alle Artikel, die ich benötige, Personal ist sehr freundlich und hilfsbereit
Kaufland;4;reichhaltiges angebot, meine produkte immer vorrätig
Netto (Rot);4;Es ist nicht immer alles vorrätig, was ich kaufen möchte
Kaufland;2;Es fehlen die Frischetheken, soweit das meiste verfügbar und halbwegs übersichtlich
Edeka;5;Das Personal ist nett und man findet sich dort gut zurecht.
Tegut;5;große auswahl,Frische
Aldi Süd;4;preiswert , gutes sortiment
Netto (Rot);4;reicht das nicht
Rewe;5;Bekomme alles was ich brauche und das Personal ist sehr nett
Andere;2;Das Sortiment ist ganz ok, aber leider werden immer wieder Markenprodukte, die ich schätze, aus dem Sortiment genommen.
Edeka;5;Alles ist immer super
Kaufland;5;gut zu erreichen, genügend Parkplätze, großes Angebot
Lidl;4;Alles in allem bin ich zufrieden, nervig ist nur wenn Standard Artikel unter der Woche ausverkauft sind was leider immer wieder passiert aufgrund schlechter Planung
Rewe;4;nicht voll und ganz, weil nicht genug fremde Spezialitäten angeboten werden
Lidl;3;Ort
Netto (Rot);3;es ist wie es ist
Aldi Nord;5;alles
Lidl;4;Günstige Bio-Produkte, günstiger guter Wein, frisches und gutes Obst- und Gemüseangebot
Edeka;5;Gut sortiert,alles frisch und appetitlich, nettes Personal.
Rewe;5;in meiner Rewe filiale wird mir alles geboten was ich so brauche. Frische, Qualität,verfügbarkeit,freundlichkeit,sauberkeit,nachhaltigkeit,warenverfügbarkeit,große Auswahl in allen preissegmenten,
Aldi Süd;5;Sauber, freundlich, gute Qualität
Rewe;5;Die Filiale bietet alles was ich mir wuensche. Ist sehr gut sortiert, sauber und hell. Freundliche Mitarbeiter.
Edeka;4;Ich bekomme dort alles, was ich brauche, nettes Personal, gutes Preis-Leistungsverhältnis - alles bestens.
Edeka;5;Gut erreichbar  Parkmöglichkeiten  Frische Auswahl Obst und Gemüse
Rewe;4;++++
Penny;4;Grundbedürfnisse werden erfüllt, für besondere Sachen muss man woanders hin
Netto (Rot);4;ist bei mir nur über die Straße, und ich bekomme die wichtigsten Sachen
Aldi Süd;4;bekomme fast alles in guter Qualität
Rewe;4;einfach zu erreichen und gute Preise
Aldi Nord;4;prima
Famila;5;Der Merkt ist ansprechend und das Personal freundlich
Aldi Nord;5;Personal ist immer freundlich
Real;4;hätte gerne ein werbeheft gehabt
Kaufland;4;Es ist mein Haupeinkaufsmarkt, da bekomme ich soweit alles was wir benötigen. Preis und Qualität stimmt
Kaufland;4;Große Auswahl, relativ günstige Preise
Aldi Süd;5;sehr sauber und übersichtlich, keine langen Wartezeiten an der kasse
Netto (Rot);4;hat alles was ich brauche
Edeka;4;gut zu erreichen
Edeka;5;Gutes Sortiment, aufgeräumtes Geschäft, Preis-Leistungsverhältnis
Lidl;4;weil es so ist
Lidl;3;großes angebot, regionale produkte, freundliche mitarbeiter
Netto (Rot);5;alles ok
Aldi Nord;5;finde alles was ich brauche, günstig und qualitativ gut
Edeka;4;Man bekommt fast alles
Penny;4;oft fehlen Artikel
Rewe;5;REWE hat ein großes Sortiment und auch günstige Eigenmarken.
Rewe;3;könnte strukturierter sein
Aldi Nord;5;Ist ist der Nähe , Gute preise , Gutes Sortiment
Lidl;4;Sehr zufrieden, Angebote, Mitarbeiter und Service ok.
Edeka;3;passt alles
Aldi Nord;5;alles da
Lidl;5;Wegen gute Qualität, preswert, gut sortiert und sauber.
Rewe;5;Frische Produkte freundliches Personal
Edeka;5;schöner laden
Lidl;5;Sortiment übersichtlich an geordnet freundliches Personal
Edeka;4;guter einkauf möglich
Aldi Nord;5;ist halt so
Rewe;4;Es gibt regelmäßig gute Angebote und ich sammel dort Paybackpunkte
Edeka;5;freundlichkeit und frische
Penny;3;ka
Lidl;4;Auswahl, sauber, freundliches Personal
Globus;5;großes und breites sortiment
Aldi Süd;4;Im großen und ganzen bin ich mit der Aldi Süd Filiale schon zufrieden, aber oftmals ist das Gemüse und das Obst nicht frisch. Auch die Milch schmeckt etwas wässrig.  Diese Produkte kaufe ich dann lieber im Rewe, denn dort kann ich mich auf frisches Obst und Gemüse verlassen. Auch die Markenmilch ist dort schmackhafter. Es gibt zwischen dem Supermarkt und dem Discounter schon gewisse Qualitätsunterschiede
Edeka;4;kundenfreundlich
Aldi Nord;5;sehr gutes Preis-Leistungsverhältnis, aber leider sind die wöchentlichen Angebote aus dem Non-Food-Sortiment zu schnell ausverkaufz
Lidl;4;alles in der nähe
Netto (Rot);4;Bekomme was ich brauch
Netto (Rot);3;Manche Obstsorten haben nicht so eine gute Qualität (so süße, unaromatische Züchtung), die kaufe ich woanders, aber Satsumas bekomme ich dort, die finde ich gut, die sind meist nicht so süß.
Lidl;4;freundliche Mitarbeiter gutes Angebot helle freundliche Filiale
Kaufland;5;Gute Erfahrungen
Kaufland;3;Fast immer alles da
Rewe;4;Teuer
Penny;4;bekomme meist alles was ich brauche in meiner umgebung
Edeka;5;In der Filiale finde ich fast alles was ich suche
Edeka;4;Sehr grosses Sortiment
Aldi Nord;5;großzügig, gute Aufteilung, frische ware
Kaufland;4;Angebote nicht immer verfügbar bzw. Mittwoch kaum erhältlich
Netto (Rot);4;Ich bekomme alles was ich brauche
Aldi Süd;4;kann nichts negatives berichten
Aldi Süd;4;Das Personal könnte hilfsbereiterer sein
Netto (Rot);4;Nicht immer gut disponiert
Lidl;4;hrgjkgfrmnjbfd
Kaufland;3;Oftmals sind gängige Artikel wie Kaffeeweißer alle
Edeka;5;Vielfältiges Angebot, frische Ware, freundliches Personal
Aldi Süd;5;Gute Preise nette Verkäuferinnen gute Auswahl
Penny;4;Einiges ist nicht im Sortiment
Edeka;4;Rießengroß
Aldi Süd;4;Man bekommt die meisten Artikel die man braucht und es gibt auch Sonderangebote
Kaufland;4;Bekomme viel von meinem Bedarf, Ich finde es gut, dass es viel nicht verpacktes Obst und Gemüse gibt
Lidl;5;Sauber, freundliches Personal, übersichtliches Angebot, preiswert
Lidl;4;Alles da was ich brauche
Kaufland;4;Oft werden gängige Waren aus dem Sortiment genommen finde ich etwas seltsam. Positiv ist die breite Produktpalette
Famila;5;Gutes Angebot und viel Auswahl
Hit;4;bekomme alles, liegt gut erreichbar, preise hoch
Lidl;5;Alles frisch
Aldi Nord;4;Ich bekomme das Nötigste in ordentlicher Qualität.
Edeka;4;Das Sortiment passt in etwa, Preis-/Leistungsver-hältnis auch in Ordnung.
Lidl;5;Gute Auswahl und vorhandene Produkte
Lidl;5;Man bekommt fast alles, was man im täglichen Leben braucht
Rewe;4;Guter erreichbar
Netto (Rot);2;es werden neuerdings preiswerte produkte durch teure ersetzt, nach dem motto, friss oder stirb
Kaufland;3;????????
Lidl;5;Übersichtlich, renoviert, dynamische kassen
Rewe;4;Freundliche Atmosphäre, schnelle Bedienung an Kassen, payback
Edeka;5;weil ich da alles bekomme auch wenn es mehr kostet
Aldi Nord;4;Preis Leistung stimmt meist
Aldi Süd;5;Immer ordentlic
Netto (Rot);4;wird immer schlechter
Kaufland;5;Weil es so ist
Edeka;3;-
Combi;3;Zu volle Gänge, zu unübersichtlich
Edeka;4;Alles da, was ich brauche
Real;4;ui9o0
Real;2;Gut
Rewe;2;kein gutes Angebot von Frischwaren oft sind Artikel nicht vorrätig im Regal
Rewe;5;Gute Einrichtung Großes Sortiment Freundliche Bedienung Frische
Penny;4;Hat alles was ich brauche ,gute Angebote ,gut mit Bus zu erreichen ,sauber
Netto (Rot);3;ka
Aldi Süd;4;Nach Renovierung hochwertiger Look mit deutlich breiteren Gängen. Allerdings ist die Warensortierung eher unübersichtlich und stellenweise überhaupt nicht nachvollziehbar.
Rewe;5;ist gut zu erreichen und bin schnell mit dem Einkauf fertig
Netto (Rot);4;Obst und Gemüse leider nicht immer frisch
Edeka;5;Gutes Sortiment frische Ware
Rewe;5;Sehr freundlich
Lidl;5;ich bekomme immer alles, was ich brauche
Lidl;4;gutes angebot
Edeka;5;lecker
Lidl;5;Da die Mitarbeiter da sehr freundlich sind
Kaufland;5;Alles,was ich brauche, bekomme ich bei Kaufland
Edeka;5;Nettes Personal
Kaufland;4;Oft sehr lange Schlangen an der Kasse
Netto (Rot);4;Ich bekomme meistens alles was ich brauche
Rewe;4;hat gute Qualität
Edeka;5;Leicht zu erreichen, saubere Filiale mit guter Auswahl.
Rewe;3;ist nicht immer ganz sauber
Aldi Süd;4;einfach genieal
Kaufland;3;billiger als woannders
Edeka;4;möchte mich nicht näher äußern
Edeka;4;Könnten mehr laktosefreie Sachen geben, z.b. Pudding
Markant;3;nicht immer alles vorhanden
Lidl;4;alles top
Edeka;5;Ich fühle mich dort wohl. Das Publikum ist gepflegter als bei Lidl oder Aldi
Kaufland;5;hat immer alles was meinen Bedürfnisse entspricht
Edeka;5;großes Angebot, viele Freisxcheprodukte, freundlixche und hilfsbereite Mitarbeiter
Kaufland;5;Sonderangebote immer vorrätig
Penny;5;sauber, gutes Angebot, Obst und Gemüse meist frisch
Aldi Nord;5;weil es sehr übersichtlihc ist
Kaufland;5;sauber,gutes Angebot,Tiefgarage
Edeka;5;Er liegt sehr in meiner Nähe, hat eine große Auswahl und wenn man nicht gerade die vollig überteuerten Produkte von der Marke Edeka kauft auch preiswert.
Rewe;5;zu wenig produkte
Lidl;5;immer frische ware sehr gutes preis-leistungs-erhältnis
Netto (Rot);4;...
Edeka;5;Kompetentes Personal und eine große Auswahl an frischen Prdukten
Aldi Süd;5;Gutes Sortiment, guter Preis, nettes Personal
Kaufland;4;bekomme alle Lebensmittel aus einer Hand
Andere;5;Angenehmes Einkaufen,sauber,gutes Preis-Leistungs-Verhältnis
Netto (Rot);4;Viele Produkte
Lidl;4;Gute Lage, moderne Einrichtung, entspanntes Ambiente, teilweise lange Wartezeiten an der Kasse
Edeka;4;Das breite Angebot vereinfacht meinen Einkauf
Aldi Nord;4;Alle Gesellschafter , die Geldanlagen haben ,wollen abgreifen ( Heuschrecken ). Deshalb wird der Erzeugerpreis gedrückt.  WER sich nicht bei Aldi EINKAUFT zum SPOTTPREIS , der kommt nicht ins Sortiment. KNALLHART wird mit den Lieferanten umgegangen , letzlich wird der lieferant bei einer Gewinnspanne von 0,001 c  noch erfreut sein. Die LEBENSMITTELMAFIA wird schon den Verbraucher aussaugen. Beispiel :  Getreidemühlen  , Milchauffangstellen usw.  Meinste der Bauer  bekommt etwas mehr , so  uß er nur stöhnen , das Wetter.  Wir EU soll es richten  , allerdings , der größte Ärger  - Lieferzeit  bei Mercedes  ca.  4 Monate  Mit Gruß
Lidl;5;Mir gefällt es dort einzukaufen
Lidl;4;hat viel auswahl, großer parkplatz,super
Aldi Süd;4;.
Kaufland;4;....
Lidl;5;eigentlich immer alles vorrätig.
Kaufland;5;man bekommt alles an einem ort
Edeka;5;Freundliches Personal, gute Auswahl
Aldi Süd;5;Gute Erreichbarkeit Parkmöglichkeiten Sortiment Frische
Rewe;4;Alles da, was man braucht
Aldi Süd;5;sehr gutes Warensortiment.
Lidl;4;alles günstig, Auswahl, freundliches Personal
Real;4;Das Angebot ist sehr umfangreich
Edeka;5;Gibt alles in verschiedenen Preisklassen , Obst ist frisch , Verkaufspersonal freundlich und aufmerksam
Lidl;4;Ordentlich, sauber,  freundliches Personal, gute Auswahl, könnte aber größer sein
Lidl;5;sehr nah und man bekommt fast alles im geschäft
Real;3;Angebote sind oft vergriffen, Produkte an der Fleischtheke,z.B. Leber oder Bratwurst nicht fs6
Kaufland;4;gute preise
Netto (Rot);5;Gutes Angebot und freundliches Personal
Rewe;5;Gutes Sortiment Sehr nettes Personal  Keine langen Wartezeiten
Lidl;5;obst/gemüse immer frisch und appetitlich, allg. viel auswahl, preise ok, gut erreichbar
Andere;4;Bekomme zu 90% was ich möchte
Edeka;4;zufrieden
Real;4;Man findet selten Personal wenn man etwas fragen will
Lidl;1;Ich finde klasse
Edeka;3;Personal an den Bedientheken superfreundlich. Kassenpersonal unfreundlich
Kaufland;4;kaufland hat immer tolle angebote und fische waren
Rewe;5;immer alles frisch
Penny;5;Das Personal ist sehr freundlich und hilfsbereit
Andere;5;vielfältiges Sortiment, orientiert am Kundenbedarf, freundliche Bedienung, Rabatte, preiswert, Ablaufdaten aktuell
Edeka;4;hat alles
Penny;4;Alles da, was ich brauche
Edeka;4;Weiß nicht
Kaufland;5;bekomme ich alles was ich brauche
Edeka;5;Günstig und immer Freundlich
Real;4;Ist in meiner Nähe, finde alles was ich brauche
Aldi Süd;4;Sortiment ist gut Obst und Gemüse meist qualitativ gut
Kaufland;5;ich kann alle Lebensmittel kaufen, ebenso sind immer Sonderangebote erhältlich
Kaufland;5;ok
Edeka;5;Die Sauberkeit,gute Auswahl
Edeka;5;Ordentlich, Produktvielfalt, freundlich
Lidl;5;Sehr gutes Obst und Gemüse Angebot, tolles Fleischangebot, sauber, nette Verkäufer
Edeka;5;gibt alles zu kaufen
Lidl;5;Lidl Standart
Edeka;4;Es gibt relativ wenig Angebote
Lidl;3;viele Artikel sind nicht verfügbar, ausverkauft oder einfach nicht lieferbar
Kaufland;5;die qualität und der preis stimmt
Penny;5;Hat alles was ich brauche
Aldi Nord;5;Gute Qualität gute Auswahlfreundliches Personal
Edeka;5;große vielfalt
Lidl;5;Immer frisch
Aldi Süd;4;Weil das so ist
Penny;5;Freundlich,sauber
Rewe;5;immer gute qualität, freundliches personal und gute preise. Waren sind usreichend vorhanden und das sortiment ist ausgewogen
Kaufland;5;Nah gelegen
Edeka;3;Im Großen und Ganzen bin ich zufrieden aber ab und zu sind Artikel nicht vorrätig, besonders aus der Edeka App.
Aldi Nord;5;Da ist immer alles top
Kaufland;4;Übersichtlich Freundlich Aufgeräumt
Lidl;4;Die obstabteilung hat in der Frische nachgelassen
Netto (Rot);5;warum
Penny;4;gut
Andere;5;überschaubares Angebot, hat alles,was nötig ist,kurze Wege.
Kaufland;4;manche Artikel nicht immer da.
Penny;4;Übersichtlich,Sauber aber nicht immer alle Produkte verfügbar
Real;5;Ganz zufrieden, dort gibt es aber inzwischen einen massiven renovierungsstau
Edeka;5;Sehr übersichtlich und das beste Obst und Gemüse
Kaufland;4;xx
Lidl;3;immer sauber, nettes personal
Aldi Nord;5;Gut sortiert, sauber und ordentliche Führung der Filiale
Rewe;4;guter service
Edeka;5;Zufriedenheit
Netto (Rot);4;gutes Sortiment und gute Angebote
Edeka;4;Immer frisch
Norma;5;weil ich dort bekomme was ich brauche.
Rewe;5;Ich bin schon seit der Eröffnung Kunde
Edeka;5;Gute Filiale mit Schätzen von MItarbeitern. Chef gewöhnungsbedürftig.
Netto (Rot);5;Ich kenne alle Mitarbeiter sehr gut und fühle mich dort wohl
Edeka;5;freundliches, hilfsbereites Personal
Kaufland;4;Großes angebot
Edeka;4;viel auswahl, sauberkeit, wenn nicht im angebot eher teuer
Kaufland;5;Preis und Leistung stimmen
Rewe;5;Sauber und gepflegt
Netto (Rot);4;Gutes Preis-Leistungsverhältnis
Rewe;4;Große Auswahl, modernes Geschäft, aber einiges ist auch sehr teuer
Rewe;3;nettes personal
Netto (Rot);2;sieht etwas ramschig aus, unsortiert. Nicht so viel Auswahl an Produkten
Kaufland;5;Große Produktauswahl,sehr freundliches Personal
Netto (Rot);3;Sachen die im Angeot sind, sind nicht vorrätig.
Aldi Süd;5;Der Laden ist mir sehr sympathisch. Sauber und aufgeräumt. Nettes Personal.ausserdem treffe ich dort immer viele Bekannte.
Rewe;4;ich kann dort gut und günstig einkaufen. werde freundlich bedient
Norma;4;Meistens bekomme ich dort alles, was ich benötige.
Kaufland;5;gutes Preis-Leistungs-Verhältnis
Edeka;5;Sehr schöne Filiale mit großer Auswahl, immer frisch, viele Sonderangebote und sehr gute Eigenmarke
Kaufland;4;Es ist manchmal unordentlich und die Übersicht der Produkte ist nicht immer gut. Alles in allem ein guter Laden
Aldi Nord;5;Aldi. hat. alles. was. Ich.  brauche. und. ist. außerdem. noch. sehr. guenstig
Netto (Rot);5;guter service
Netto (Rot);4;gutes Preis-/Leistungsverhältnis
Edeka;4;große Auswahl, freundliche Bedienung
Rewe;5;dort gibt es alles was ich brauche
Kaufland;4;Es gibt eine große Auswahl, wir kennen uns dort aus, angenehme Atmosphäre, freundliche Mitarbeiter Leider oft schimmeliges Obst und einige Produkte wurden rausgenommen
Netto (Rot);5;5 Sterne Preisgünstig
Kaufland;4;Gutes und preiswertes Sortiment
Lidl;5;Wir heben einen komplett neuen Markt und dieser biete ein noch besseres Einkaufserlebnis bei LIDL
Netto (Rot);3;die Auswahl ist nur befriedigend
Edeka;4;Alles wichtige vorhanden, Filiale ist sauber, tolles Personal
Kaufland;4;Das Angebot ist reichhaltig allerdings die Imbissangebote funktionieren überhaupt nicht
Rewe;4;Auswahl ist in Ordnung
